phrase1, phrase2, phrase3, phrase4, phrase5, phrase6, phrase7, phrase8, phrase9, phrase10, phrase11, phrase12, phrase13, phrase14, phrase15, phrase16, phrase17, phrase18, phrase19, phrase20, phrase21, phrase22, phrase23, phrase24, phrase25, phrase26, phrase27, phrase28, phrase29, phrase30, symptom
"My skin is itching constantly", "I can’t stop scratching my arms","There is a tingling sensation on my skin","My back itches so much, it’s unbearable","I feel an intense urge to scratch my legs","My scalp is itching more than usual","This rash is making my skin extremely itchy","I woke up with an itchy sensation on my hands","My neck feels irritated and itchy","There are red spots on my skin, and they itch a lot","My whole body feels itchy after taking that medicine","I have an allergic reaction, and my skin is itching badly","The mosquito bite is making my arm itch","My palms are itching, and I don’t know why","Every time I sweat, my skin starts itching","My feet feel itchy after wearing those shoes","My eyes are watery and feel a bit itchy","I have an itchy feeling on my chest","My skin started itching after I touched that plant","This sweater is making my neck itch","I feel itchy around my ankles after walking through grass","My face is itchy, and it feels dry too","I scratched my arm so much that it turned red","My ears are itching inside","My stomach itches, and I see tiny bumps","I can’t focus because my arms are itching so much","My lips feel itchy after eating that food","I have an intense itching sensation on my thighs","My fingers are itchy, and I don’t know the reason","This new lotion is making my skin itch all over","itching"
"My skin has developed a red rash","There are small bumps appearing on my arms","I have an itchy rash spreading on my neck","My skin feels irritated and has turned red","A patch of rash appeared suddenly on my leg","The rash is warm to the touch","My hands are covered in red spots","I noticed a rough rash forming on my back","There are blotches of rash on my chest","My skin is peeling along with the rash","This rash is getting worse after scratching","A red and scaly patch has appeared on my elbow","My skin is swollen and rash-like","The rash is spreading across my shoulders","I have tiny red dots all over my skin","My face has broken out in a strange rash","The rash on my arm feels very dry","The redness on my skin is increasing","My legs are covered with an uneven rash","There are inflamed spots on my stomach","The rash on my hands is painful","My back is covered in an itchy rash","The rash on my neck is turning darker","I feel a burning sensation along with the rash","The rash appeared suddenly after eating something","My skin is flaking where the rash is","The rash on my wrist is growing","My arms are full of tiny rash bumps","This rash is making my skin feel hot","I woke up with an unexplained rash on my thighs","skin_rash"
"My skin has developed raised nodules","There are hard lumps appearing on my arms","I have painful nodules forming on my skin","My skin feels swollen with small bumps","A cluster of nodules appeared suddenly on my leg","The nodules are firm and do not go away","My hands have multiple raised eruptions","I noticed tender nodules forming on my back","There are small, swollen lumps on my chest","My skin is covered in thick nodules","These nodules are itchy and inflamed","I feel hard bumps under my skin","The nodules are increasing in size","My skin has tender, red nodules","The eruptions on my arms feel warm","My face has developed painful lumps","The nodules on my leg are very firm","My skin is irritated with deep nodules","The bumps on my skin are clustered","There are large, painful eruptions on my body","The nodules are not going away","My back is covered in thick skin eruptions","The lumps on my skin feel solid","The nodules on my neck are increasing","My skin is developing multiple firm nodules","These skin eruptions feel deep under the skin","The nodules are causing discomfort","My arms have several raised bumps","These nodules feel sore when touched","The eruptions are spreading across my shoulders","nodal_skin_eruptions"
"I keep sneezing repeatedly","My sneezing won't stop","I have been sneezing continuously since morning","Every few seconds I sneeze again","My nose is irritated, and I can't stop sneezing","I sneeze non-stop whenever I step outside","Sneezing has been persistent all day","I can’t control my sneezing fits","I start sneezing continuously when I wake up","Even without a cold, I keep sneezing","My sneezing won’t stop even after taking medicine","I keep sneezing whenever I enter a dusty room","My sneezing is frequent and uncontrollable","I sneeze multiple times in a row","Every time I breathe in, I sneeze","I can't stop sneezing after exposure to pollen","My sneezing is triggered by strong smells","Even without allergies, I keep sneezing","I sneeze over and over again","Sneezing attacks come in long bursts","I sneeze continuously every morning","I feel a tickle in my nose, followed by nonstop sneezing","Once I start sneezing, I can't stop","I sneeze endlessly when I go outside","Strong perfumes make me sneeze repeatedly","Cold air makes me sneeze multiple times","Continuous sneezing is making my nose sore","I have sudden sneezing fits throughout the day","My sneezing happens in rapid succession","I can't stop sneezing whenever I enter an air-conditioned room","continuous_sneezing"
"I feel like I am constantly shivering","My body won’t stop shivering","I start shivering even when it's not cold","Shivering is making me feel weak","I can't control my shivering","My hands are shaking uncontrollably","I shiver even under a blanket","My whole body trembles suddenly","I get chills and start shivering","Shivering makes my teeth chatter","I start shivering when I feel sick","My body shakes as if I am freezing","I wake up in the night shivering","Even in warm weather, I keep shivering","I feel sudden shivers running through my body","My legs feel weak and shiver constantly","I can't stop trembling","Shivering makes it hard to hold things","I feel cold and start shaking","Shivering makes my body tense up","My hands and feet tremble without reason","Shivering is making me feel exhausted","I suddenly start shaking uncontrollably","Shivering makes me feel dizzy","Even hot drinks don’t stop my shivering","I have chills that make me shiver","My whole body shakes from time to time","I shiver when I get nervous","I feel weak and keep shivering","Shivering won’t stop no matter what I do","shivering"
"I feel chills running through my body","My whole body is covered in chills","I suddenly get chills for no reason","Chills make me feel weak","I feel cold and get chills even in warm weather","I wake up at night with chills","My body shivers when I get chills","Chills make my hands and feet feel frozen","I feel a wave of chills down my spine","I get chills when I have a fever","My skin gets goosebumps from chills","Chills make my teeth chatter","I feel cold sweats along with chills","Even under a blanket, I still get chills","Chills make me feel lightheaded","I start shaking every time chills hit me","My body tenses up when I get chills","I feel sudden chills that disappear quickly","Chills come and go throughout the day","I feel weak whenever I experience chills","Chills make it hard to sleep","I get chills along with body aches","My arms and legs tremble when I get chills","Chills make my muscles feel tight","I get chills even when I don't feel cold","I feel cold inside my body because of chills","My back and neck get chills frequently","Chills make my skin extra sensitive","I feel tingling along with chills","Chills happen randomly and make me uncomfortable","chills"
"My knees ache when I walk","I feel stiffness in my joints every morning","Joint pain makes it hard to move","My fingers hurt when I try to grip something","I feel sharp pain in my elbows","Joint pain worsens when it rains","My ankles feel sore after standing too long","I get swelling around my painful joints","My wrists ache when I type","Joint pain makes my movements slow","I struggle to bend my knees due to pain","My shoulders feel stiff and painful","I wake up with pain in my joints","My hips ache after sitting for too long","Joint pain makes climbing stairs difficult","My knuckles hurt when I make a fist","I feel a burning sensation in my joints","My hands feel stiff and painful in the morning","Pain in my joints gets worse at night","I feel discomfort in my joints after exercise","My elbows feel tender when I press on them","I get throbbing pain in my knees","Joint pain makes it hard to stretch","I feel sharp pain when moving my fingers","My joints make cracking sounds when I move","Pain spreads from one joint to another","I struggle to kneel due to joint pain","My neck joints feel stiff and sore","I feel constant aching in my joints","Pain in my joints makes it hard to sleep","joint_pain"
"My stomach aches after eating","I feel a sharp pain in my abdomen","My stomach pain comes and goes","I have a burning sensation in my stomach","My stomach cramps after drinking milk","I feel bloated and my stomach hurts","Stomach pain worsens when I lie down","I have discomfort in my lower abdomen","My stomach hurts after spicy food","I feel a dull ache in my stomach","My stomach pain is worse at night","I get stomach cramps in the morning","I feel pressure in my stomach","My stomach pain is accompanied by nausea","I feel stabbing pain in my stomach","My stomach hurts when I press on it","I have a gnawing pain in my stomach","My stomach pain gets worse when I move","I feel like my stomach is in knots","I have pain in my upper abdomen","My stomach pain is relieved after eating","I feel a squeezing pain in my stomach","My stomach hurts when I am stressed","I get stomach cramps after drinking coffee","My stomach pain spreads to my back","I have discomfort in my stomach after a meal","I feel stomach pain when I wake up","My stomach hurts and I feel gassy","I get a sharp pain in my stomach when I cough","My stomach pain makes me feel weak","stomach_pain"
"I feel a burning sensation in my chest","My stomach feels acidic after eating","I experience heartburn frequently","I have a sour taste in my mouth","My throat feels irritated after meals","I feel discomfort in my upper stomach","Acidity worsens when I lie down","I burp a lot and feel acidic","My stomach burns after spicy food","I get acid reflux at night","My chest hurts due to acidity","I feel bloated and acidic","Acidity makes my throat sore","I wake up with a burning stomach","I feel nauseous due to acidity","My stomach pain worsens with acidity","Acidity gives me a bitter taste","I feel heaviness in my stomach","My acidity increases after coffee","Acid reflux disturbs my sleep","I have a burning pain in my abdomen","I feel uneasy due to acidity","Acidity causes discomfort after eating","I feel acid rising in my throat","My acidity is worse when I skip meals","I feel heartburn after eating oily food","Acidity makes me burp frequently","I get stomach cramps with acidity","My acidity flares up when I am stressed","Acidity makes my stomach feel inflamed","acidity"
"My tongue has painful sores","I have white ulcers on my tongue","Eating spicy food worsens my tongue ulcers","I feel discomfort while talking due to tongue ulcers","My ulcers hurt when I drink hot beverages","I have red spots on my tongue that are painful","My tongue feels sore and irritated","I struggle to eat due to ulcers on my tongue","Ulcers on my tongue make swallowing difficult","My tongue has small white patches","I experience a burning sensation on my tongue","My ulcers bleed when I eat hard food","I feel a sharp pain on my tongue","Ulcers on my tongue keep coming back","My tongue has swollen painful bumps","Ulcers on my tongue sting when I drink acidic drinks","I have difficulty brushing my teeth due to tongue ulcers","My tongue feels rough due to sores","I get ulcers on my tongue when I am stressed","My tongue ulcers hurt even when I am not eating","I feel discomfort on my tongue all day","Ulcers on my tongue take long to heal","I have a bitter taste in my mouth due to ulcers","My tongue feels raw and inflamed","Talking irritates the ulcers on my tongue","Ulcers on my tongue make my mouth dry","I have white painful patches on my tongue","My ulcers make eating painful","I struggle to drink water due to tongue ulcers","Ulcers on my tongue make my breath smell bad","ulcers_on_tongue"
